,Unnamed: 0,Time,Area,cell_number
0,0,0,707,cell_2
1,1,1,786,cell_2
2,2,2,316,cell_2
3,3,3,714,cell_2
4,4,4,824,cell_2
5,5,5,839,cell_2
6,6,6,824,cell_2
7,7,7,827,cell_2
8,8,8,823,cell_2
9,9,9,331,cell_2
10,10,10,424,cell_2
11,11,11,830,cell_2
12,12,12,812,cell_2
13,13,13,784,cell_2
14,14,14,820,cell_2
15,15,15,407,cell_2
16,16,16,866,cell_2
17,17,17,338,cell_2
18,18,18,833,cell_2
19,19,19,819,cell_2
20,20,20,819,cell_2
21,21,21,824,cell_2
22,22,22,812,cell_2
23,23,23,769,cell_2
24,24,24,875,cell_2
25,25,25,799,cell_2
0,0,0,142,cell_1
1,1,1,308,cell_1
2,2,2,308,cell_1
3,3,3,332,cell_1
4,4,4,332,cell_1
5,5,5,291,cell_1
6,6,6,208,cell_1
7,7,7,208,cell_1
8,8,8,305,cell_1
9,9,9,305,cell_1
10,10,10,305,cell_1
11,11,11,137,cell_1
12,12,12,136,cell_1
13,13,13,136,cell_1
14,14,14,310,cell_1
15,15,15,310,cell_1
16,16,16,301,cell_1
17,17,17,312,cell_1
18,18,18,292,cell_1
19,19,19,306,cell_1
20,20,20,321,cell_1
21,21,21,330,cell_1
22,22,22,298,cell_1
23,23,23,168,cell_1
24,24,24,299,cell_1
25,25,25,298,cell_1
0,0,0,681,cell_4
1,1,1,739,cell_4
2,2,2,689,cell_4
3,3,3,662,cell_4
4,4,4,706,cell_4
5,5,5,671,cell_4
6,6,6,689,cell_4
7,7,7,706,cell_4
8,8,8,704,cell_4
9,9,9,707,cell_4
10,10,10,669,cell_4
11,11,11,694,cell_4
12,12,12,686,cell_4
13,13,13,665,cell_4
14,14,14,703,cell_4
15,15,15,688,cell_4
16,16,16,685,cell_4
17,17,17,640,cell_4
18,18,18,650,cell_4
19,19,19,695,cell_4
20,20,20,723,cell_4
21,21,21,676,cell_4
22,22,22,711,cell_4
23,23,23,692,cell_4
24,24,24,727,cell_4
25,25,25,683,cell_4
0,0,0,248,cell_3
1,1,1,251,cell_3
2,2,2,241,cell_3
3,3,3,256,cell_3
4,4,4,250,cell_3
5,5,5,239,cell_3
6,6,6,252,cell_3
7,7,7,242,cell_3
8,8,8,266,cell_3
9,9,9,257,cell_3
10,10,10,245,cell_3
11,11,11,242,cell_3
12,12,12,241,cell_3
13,13,13,274,cell_3
14,14,14,258,cell_3
15,15,15,250,cell_3
16,16,16,243,cell_3
17,17,17,237,cell_3
18,18,18,273,cell_3
19,19,19,234,cell_3
20,20,20,248,cell_3
21,21,21,254,cell_3
22,22,22,244,cell_3
23,23,23,245,cell_3
24,24,24,243,cell_3
25,25,25,228,cell_3
