,Unnamed: 0,Time,Area,cell_number
0,0,0,2095,cell_1
1,1,1,2078,cell_1
2,2,2,2087,cell_1
3,3,3,2090,cell_1
4,4,4,2095,cell_1
5,5,5,2091,cell_1
6,6,6,2078,cell_1
7,7,7,2079,cell_1
8,8,8,2066,cell_1
9,9,9,2082,cell_1
10,10,10,2100,cell_1
11,11,11,2081,cell_1
12,12,12,2075,cell_1
13,13,13,2078,cell_1
14,14,14,2053,cell_1
15,15,15,2087,cell_1
16,16,16,2096,cell_1
17,17,17,2105,cell_1
18,18,18,2097,cell_1
19,19,19,2097,cell_1
20,20,20,2090,cell_1
21,21,21,2063,cell_1
22,22,22,2095,cell_1
23,23,23,2101,cell_1
24,24,24,2087,cell_1
25,25,25,2094,cell_1
26,26,26,2093,cell_1
27,27,27,2092,cell_1
28,28,28,2077,cell_1
29,29,29,2083,cell_1
30,30,30,2069,cell_1
31,31,31,2090,cell_1
32,32,32,2075,cell_1
33,33,33,2086,cell_1
34,34,34,2077,cell_1
35,35,35,2095,cell_1
36,36,36,2086,cell_1
37,37,37,2086,cell_1
38,38,38,2071,cell_1
39,39,39,2093,cell_1
40,40,40,2095,cell_1
41,41,41,2094,cell_1
42,42,42,2097,cell_1
43,43,43,2097,cell_1
44,44,44,2102,cell_1
45,45,45,2070,cell_1
46,46,46,2072,cell_1
47,47,47,2096,cell_1
48,48,48,2096,cell_1
49,49,49,2096,cell_1
50,50,50,2084,cell_1
51,51,51,2092,cell_1
52,52,52,2090,cell_1
53,53,53,2098,cell_1
54,54,54,2081,cell_1
55,55,55,2088,cell_1
56,56,56,2071,cell_1
57,57,57,2097,cell_1
58,58,58,2099,cell_1
59,59,59,2098,cell_1
60,60,60,2092,cell_1
61,61,61,2087,cell_1
62,62,62,2093,cell_1
63,63,63,2100,cell_1
64,64,64,2081,cell_1
65,65,65,2090,cell_1
66,66,66,2095,cell_1
67,67,67,2085,cell_1
68,68,68,2076,cell_1
69,69,69,2100,cell_1
70,70,70,2092,cell_1
71,71,71,2091,cell_1
72,72,72,2086,cell_1
73,73,73,2079,cell_1
74,74,74,2092,cell_1
75,75,75,2087,cell_1
76,76,76,2085,cell_1
77,77,77,2081,cell_1
78,78,78,2100,cell_1
79,79,79,2097,cell_1
80,80,80,2101,cell_1
81,81,81,2086,cell_1
82,82,82,2101,cell_1
83,83,83,2092,cell_1
84,84,84,2072,cell_1
85,85,85,2086,cell_1
86,86,86,2072,cell_1
87,87,87,2100,cell_1
88,88,88,2104,cell_1
89,89,89,2096,cell_1
90,90,90,2083,cell_1
91,91,91,2076,cell_1
92,92,92,2078,cell_1
93,93,93,2090,cell_1
94,94,94,2080,cell_1
95,95,95,2075,cell_1
96,96,96,2089,cell_1
97,97,97,2098,cell_1
98,98,98,2093,cell_1
99,99,99,2099,cell_1
100,100,100,2087,cell_1
101,101,101,2083,cell_1
102,102,102,2081,cell_1
103,103,103,2063,cell_1
104,104,104,2100,cell_1
105,105,105,2087,cell_1
106,106,106,2088,cell_1
107,107,107,2034,cell_1
108,108,108,2088,cell_1
109,109,109,2080,cell_1
110,110,110,2076,cell_1
111,111,111,2086,cell_1
112,112,112,2094,cell_1
113,113,113,2092,cell_1
114,114,114,2067,cell_1
115,115,115,2079,cell_1
116,116,116,2097,cell_1
117,117,117,2094,cell_1
118,118,118,2072,cell_1
119,119,119,2091,cell_1
120,120,120,2094,cell_1
121,121,121,2079,cell_1
122,122,122,2095,cell_1
123,123,123,2094,cell_1
124,124,124,2092,cell_1
125,125,125,2074,cell_1
126,126,126,2093,cell_1
127,127,127,2102,cell_1
128,128,128,2072,cell_1
129,129,129,2093,cell_1
130,130,130,2083,cell_1
131,131,131,2100,cell_1
132,132,132,2072,cell_1
133,133,133,2086,cell_1
134,134,134,2080,cell_1
135,135,135,2092,cell_1
136,136,136,2082,cell_1
137,137,137,2086,cell_1
138,138,138,2079,cell_1
139,139,139,2098,cell_1
140,140,140,2081,cell_1
141,141,141,2096,cell_1
142,142,142,2090,cell_1
143,143,143,2085,cell_1
144,144,144,2086,cell_1
145,145,145,2093,cell_1
146,146,146,2075,cell_1
147,147,147,2089,cell_1
148,148,148,2084,cell_1
149,149,149,2098,cell_1
150,150,150,2088,cell_1
151,151,151,2094,cell_1
152,152,152,2078,cell_1
153,153,153,2096,cell_1
154,154,154,2095,cell_1
155,155,155,2088,cell_1
156,156,156,2073,cell_1
157,157,157,2075,cell_1
158,158,158,2088,cell_1
159,159,159,2078,cell_1
160,160,160,2096,cell_1
161,161,161,2089,cell_1
162,162,162,2093,cell_1
163,163,163,2103,cell_1
164,164,164,2087,cell_1
165,165,165,2091,cell_1
166,166,166,2075,cell_1
167,167,167,2085,cell_1
168,168,168,2094,cell_1
169,169,169,2083,cell_1
170,170,170,2088,cell_1
171,171,171,2083,cell_1
172,172,172,2088,cell_1
173,173,173,2093,cell_1
174,174,174,2095,cell_1
175,175,175,2083,cell_1
176,176,176,2095,cell_1
177,177,177,2096,cell_1
178,178,178,2078,cell_1
179,179,179,2084,cell_1
180,180,180,2086,cell_1
181,181,181,2069,cell_1
182,182,182,2094,cell_1
183,183,183,2066,cell_1
184,184,184,2093,cell_1
185,185,185,2090,cell_1
186,186,186,2086,cell_1
187,187,187,2096,cell_1
188,188,188,2084,cell_1
189,189,189,2075,cell_1
190,190,190,2101,cell_1
191,191,191,2094,cell_1
192,192,192,2080,cell_1
193,193,193,2094,cell_1
194,194,194,2074,cell_1
195,195,195,2079,cell_1
196,196,196,2091,cell_1
197,197,197,2099,cell_1
198,198,198,2101,cell_1
199,199,199,2099,cell_1
200,200,200,2098,cell_1
201,201,201,2074,cell_1
202,202,202,2102,cell_1
203,203,203,2077,cell_1
204,204,204,2089,cell_1
205,205,205,2072,cell_1
206,206,206,2090,cell_1
207,207,207,2093,cell_1
208,208,208,2099,cell_1
209,209,209,2073,cell_1
210,210,210,2082,cell_1
211,211,211,2092,cell_1
212,212,212,2068,cell_1
213,213,213,2092,cell_1
214,214,214,2098,cell_1
215,215,215,2070,cell_1
216,216,216,2101,cell_1
217,217,217,2086,cell_1
218,218,218,2089,cell_1
219,219,219,2066,cell_1
220,220,220,2091,cell_1
221,221,221,2087,cell_1
222,222,222,2048,cell_1
223,223,223,2093,cell_1
224,224,224,2066,cell_1
225,225,225,2077,cell_1
226,226,226,2089,cell_1
227,227,227,2062,cell_1
228,228,228,2097,cell_1
229,229,229,2091,cell_1
230,230,230,2091,cell_1
231,231,231,2081,cell_1
232,232,232,2088,cell_1
233,233,233,2090,cell_1
234,234,234,2053,cell_1
235,235,235,2083,cell_1
236,236,236,2071,cell_1
237,237,237,2104,cell_1
238,238,238,2087,cell_1
239,239,239,2081,cell_1
240,240,240,2087,cell_1
241,241,241,2070,cell_1
242,242,242,2090,cell_1
243,243,243,2095,cell_1
244,244,244,2073,cell_1
245,245,245,2089,cell_1
246,246,246,2084,cell_1
247,247,247,2051,cell_1
248,248,248,2089,cell_1
249,249,249,2084,cell_1
250,250,250,2080,cell_1
251,251,251,2089,cell_1
252,252,252,2079,cell_1
253,253,253,2087,cell_1
254,254,254,2082,cell_1
255,255,255,2077,cell_1
256,256,256,2049,cell_1
257,257,257,2045,cell_1
258,258,258,2089,cell_1
259,259,259,2083,cell_1
260,260,260,2066,cell_1
261,261,261,2074,cell_1
262,262,262,2081,cell_1
263,263,263,2103,cell_1
264,264,264,2080,cell_1
265,265,265,2070,cell_1
266,266,266,2054,cell_1
267,267,267,2094,cell_1
268,268,268,2068,cell_1
269,269,269,2090,cell_1
270,270,270,2087,cell_1
271,271,271,2091,cell_1
272,272,272,2095,cell_1
273,273,273,2086,cell_1
274,274,274,2080,cell_1
275,275,275,2077,cell_1
276,276,276,2062,cell_1
277,277,277,2069,cell_1
278,278,278,2086,cell_1
279,279,279,2081,cell_1
280,280,280,2070,cell_1
281,281,281,2082,cell_1
282,282,282,2075,cell_1
283,283,283,2095,cell_1
284,284,284,2085,cell_1
285,285,285,2087,cell_1
286,286,286,2080,cell_1
287,287,287,2077,cell_1
288,288,288,2086,cell_1
289,289,289,2077,cell_1
290,290,290,2075,cell_1
291,291,291,2082,cell_1
292,292,292,2094,cell_1
293,293,293,2099,cell_1
294,294,294,2099,cell_1
295,295,295,2087,cell_1
296,296,296,2088,cell_1
297,297,297,2073,cell_1
298,298,298,2087,cell_1
299,299,299,2087,cell_1
300,300,300,2076,cell_1
301,301,301,2098,cell_1
302,302,302,2096,cell_1
303,303,303,2077,cell_1
304,304,304,2078,cell_1
305,305,305,2084,cell_1
306,306,306,2099,cell_1
307,307,307,2096,cell_1
308,308,308,2069,cell_1
309,309,309,2087,cell_1
310,310,310,2081,cell_1
311,311,311,2094,cell_1
312,312,312,2044,cell_1
313,313,313,2049,cell_1
314,314,314,2073,cell_1
315,315,315,2076,cell_1
316,316,316,2095,cell_1
317,317,317,2089,cell_1
318,318,318,2068,cell_1
319,319,319,2086,cell_1
320,320,320,2090,cell_1
321,321,321,2083,cell_1
322,322,322,2095,cell_1
323,323,323,2099,cell_1
324,324,324,2090,cell_1
325,325,325,2073,cell_1
326,326,326,2049,cell_1
327,327,327,2099,cell_1
328,328,328,2071,cell_1
329,329,329,2071,cell_1
330,330,330,2075,cell_1
331,331,331,2100,cell_1
332,332,332,2066,cell_1
333,333,333,2077,cell_1
334,334,334,2077,cell_1
335,335,335,2092,cell_1
336,336,336,2089,cell_1
337,337,337,2093,cell_1
338,338,338,2086,cell_1
339,339,339,2061,cell_1
340,340,340,2100,cell_1
341,341,341,2083,cell_1
342,342,342,2083,cell_1
343,343,343,2075,cell_1
344,344,344,2075,cell_1
345,345,345,2082,cell_1
346,346,346,2093,cell_1
347,347,347,2095,cell_1
348,348,348,2096,cell_1
349,349,349,2055,cell_1
350,350,350,2096,cell_1
351,351,351,2085,cell_1
352,352,352,2090,cell_1
353,353,353,2092,cell_1
354,354,354,2091,cell_1
355,355,355,2081,cell_1
356,356,356,2081,cell_1
357,357,357,2092,cell_1
358,358,358,2082,cell_1
359,359,359,2075,cell_1
360,360,360,2088,cell_1
361,361,361,2090,cell_1
362,362,362,2088,cell_1
363,363,363,2094,cell_1
364,364,364,2089,cell_1
365,365,365,2085,cell_1
366,366,366,2088,cell_1
367,367,367,2067,cell_1
368,368,368,2087,cell_1
369,369,369,2101,cell_1
370,370,370,2094,cell_1
371,371,371,2095,cell_1
372,372,372,2069,cell_1
373,373,373,2086,cell_1
374,374,374,2066,cell_1
375,375,375,2094,cell_1
376,376,376,2099,cell_1
377,377,377,2087,cell_1
378,378,378,2077,cell_1
379,379,379,2093,cell_1
380,380,380,2083,cell_1
381,381,381,2095,cell_1
382,382,382,2080,cell_1
383,383,383,2081,cell_1
384,384,384,2083,cell_1
385,385,385,2081,cell_1
386,386,386,2083,cell_1
387,387,387,2091,cell_1
388,388,388,2070,cell_1
389,389,389,2100,cell_1
390,390,390,2082,cell_1
391,391,391,2089,cell_1
392,392,392,2086,cell_1
393,393,393,2095,cell_1
394,394,394,2098,cell_1
395,395,395,2085,cell_1
396,396,396,2093,cell_1
397,397,397,2091,cell_1
398,398,398,2091,cell_1
399,399,399,2090,cell_1
400,400,400,2056,cell_1
401,401,401,2084,cell_1
402,402,402,2089,cell_1
403,403,403,2091,cell_1
404,404,404,2089,cell_1
405,405,405,2083,cell_1
406,406,406,2092,cell_1
407,407,407,2082,cell_1
408,408,408,2095,cell_1
409,409,409,2080,cell_1
410,410,410,2087,cell_1
411,411,411,2086,cell_1
412,412,412,2085,cell_1
413,413,413,2084,cell_1
414,414,414,2082,cell_1
415,415,415,2083,cell_1
416,416,416,2071,cell_1
417,417,417,2054,cell_1
418,418,418,2078,cell_1
419,419,419,2081,cell_1
420,420,420,2081,cell_1
421,421,421,2093,cell_1
422,422,422,2086,cell_1
423,423,423,2082,cell_1
424,424,424,2097,cell_1
425,425,425,2081,cell_1
426,426,426,2081,cell_1
427,427,427,2089,cell_1
428,428,428,2081,cell_1
429,429,429,2086,cell_1
430,430,430,2088,cell_1
431,431,431,2079,cell_1
432,432,432,2081,cell_1
433,433,433,2058,cell_1
434,434,434,2078,cell_1
435,435,435,2084,cell_1
436,436,436,2099,cell_1
437,437,437,2082,cell_1
438,438,438,2067,cell_1
439,439,439,2070,cell_1
440,440,440,2095,cell_1
441,441,441,2089,cell_1
442,442,442,2096,cell_1
443,443,443,2086,cell_1
444,444,444,2070,cell_1
445,445,445,2066,cell_1
446,446,446,2069,cell_1
447,447,447,2095,cell_1
448,448,448,2081,cell_1
449,449,449,2079,cell_1
450,450,450,2090,cell_1
451,451,451,2079,cell_1
452,452,452,2074,cell_1
453,453,453,2090,cell_1
454,454,454,2087,cell_1
455,455,455,2095,cell_1
456,456,456,2099,cell_1
457,457,457,2079,cell_1
458,458,458,2098,cell_1
459,459,459,2095,cell_1
460,460,460,2090,cell_1
461,461,461,2099,cell_1
462,462,462,2073,cell_1
463,463,463,2081,cell_1
464,464,464,2094,cell_1
465,465,465,2094,cell_1
466,466,466,2084,cell_1
467,467,467,2090,cell_1
468,468,468,2061,cell_1
469,469,469,2086,cell_1
470,470,470,2088,cell_1
471,471,471,2043,cell_1
472,472,472,2082,cell_1
473,473,473,2082,cell_1
474,474,474,2086,cell_1
475,475,475,2096,cell_1
476,476,476,2079,cell_1
477,477,477,2088,cell_1
478,478,478,2048,cell_1
479,479,479,2083,cell_1
480,480,480,2096,cell_1
481,481,481,2095,cell_1
482,482,482,2078,cell_1
483,483,483,2094,cell_1
484,484,484,2096,cell_1
485,485,485,2084,cell_1
486,486,486,2077,cell_1
487,487,487,2088,cell_1
488,488,488,2087,cell_1
489,489,489,2096,cell_1
490,490,490,2088,cell_1
491,491,491,2095,cell_1
492,492,492,2068,cell_1
493,493,493,2081,cell_1
494,494,494,2082,cell_1
495,495,495,2091,cell_1
496,496,496,2095,cell_1
497,497,497,2095,cell_1
498,498,498,2101,cell_1
499,499,499,2073,cell_1
500,500,500,2082,cell_1
501,501,501,2090,cell_1
502,502,502,2086,cell_1
503,503,503,2079,cell_1
504,504,504,2055,cell_1
505,505,505,2092,cell_1
506,506,506,2091,cell_1
507,507,507,2085,cell_1
508,508,508,2089,cell_1
509,509,509,2057,cell_1
510,510,510,2093,cell_1
511,511,511,2085,cell_1
512,512,512,2084,cell_1
513,513,513,2084,cell_1
514,514,514,2100,cell_1
515,515,515,2100,cell_1
516,516,516,2078,cell_1
517,517,517,2083,cell_1
518,518,518,2075,cell_1
519,519,519,2101,cell_1
520,520,520,2086,cell_1
521,521,521,2078,cell_1
522,522,522,2082,cell_1
523,523,523,2099,cell_1
524,524,524,2084,cell_1
525,525,525,2091,cell_1
526,526,526,2103,cell_1
527,527,527,2082,cell_1
528,528,528,2100,cell_1
529,529,529,2092,cell_1
530,530,530,2092,cell_1
531,531,531,2078,cell_1
532,532,532,2091,cell_1
533,533,533,2090,cell_1
534,534,534,2084,cell_1
535,535,535,2077,cell_1
536,536,536,2099,cell_1
537,537,537,2096,cell_1
538,538,538,2086,cell_1
539,539,539,2100,cell_1
540,540,540,2095,cell_1
541,541,541,2089,cell_1
542,542,542,2097,cell_1
543,543,543,2090,cell_1
544,544,544,2097,cell_1
545,545,545,2103,cell_1
546,546,546,2096,cell_1
547,547,547,2090,cell_1
548,548,548,2083,cell_1
549,549,549,2094,cell_1
550,550,550,2091,cell_1
551,551,551,2086,cell_1
552,552,552,2071,cell_1
553,553,553,2052,cell_1
554,554,554,2069,cell_1
555,555,555,2093,cell_1
556,556,556,2077,cell_1
557,557,557,2073,cell_1
558,558,558,2090,cell_1
559,559,559,2090,cell_1
560,560,560,2069,cell_1
561,561,561,2074,cell_1
562,562,562,2068,cell_1
563,563,563,2095,cell_1
564,564,564,2096,cell_1
565,565,565,2078,cell_1
566,566,566,2086,cell_1
567,567,567,2095,cell_1
568,568,568,2102,cell_1
569,569,569,2094,cell_1
570,570,570,2091,cell_1
571,571,571,2077,cell_1
572,572,572,2085,cell_1
573,573,573,2082,cell_1
574,574,574,2090,cell_1
575,575,575,2097,cell_1
576,576,576,2074,cell_1
577,577,577,2088,cell_1
578,578,578,2075,cell_1
579,579,579,2098,cell_1
580,580,580,2081,cell_1
581,581,581,2066,cell_1
582,582,582,2069,cell_1
583,583,583,2092,cell_1
584,584,584,2081,cell_1
585,585,585,2068,cell_1
586,586,586,2070,cell_1
587,587,587,2074,cell_1
588,588,588,2080,cell_1
589,589,589,2084,cell_1
590,590,590,2088,cell_1
591,591,591,2087,cell_1
592,592,592,2080,cell_1
593,593,593,2058,cell_1
594,594,594,2099,cell_1
595,595,595,2074,cell_1
596,596,596,2093,cell_1
597,597,597,2075,cell_1
598,598,598,2091,cell_1
599,599,599,2087,cell_1
600,600,600,2095,cell_1
601,601,601,2078,cell_1
602,602,602,2086,cell_1
603,603,603,2102,cell_1
604,604,604,2096,cell_1
605,605,605,2088,cell_1
606,606,606,2095,cell_1
607,607,607,2081,cell_1
608,608,608,2068,cell_1
609,609,609,2063,cell_1
610,610,610,2098,cell_1
611,611,611,2084,cell_1
612,612,612,2083,cell_1
613,613,613,2076,cell_1
614,614,614,2080,cell_1
615,615,615,2102,cell_1
616,616,616,2055,cell_1
617,617,617,2102,cell_1
618,618,618,2069,cell_1
619,619,619,2066,cell_1
620,620,620,2059,cell_1
621,621,621,2092,cell_1
622,622,622,2094,cell_1
