,Time,Area
0,0,54
1,1,59
2,2,63
3,3,47
4,4,65
5,5,27
6,6,149
7,7,57
8,8,54
9,9,60
10,10,56
11,11,42
12,12,49
13,13,48
14,14,45
15,15,43
16,16,31
17,17,53
18,18,44
19,19,42
20,20,50
21,21,41
22,22,31
23,23,48
24,24,38
25,25,40
26,26,49
27,27,37
28,28,59
29,29,33
30,30,28
31,31,22
32,32,27
33,33,26
34,34,32
35,35,49
36,36,44
37,37,30
38,38,27
39,39,37
40,40,42
41,41,54
42,42,40
43,43,47
44,44,46
45,45,50
46,46,44
47,47,53
48,48,48
49,49,52
50,50,38
51,51,49
52,52,45
53,53,30
54,54,25
55,55,43
56,56,31
57,57,41
58,58,42
59,59,43
60,60,42
61,61,36
62,62,36
63,63,34
64,64,42
65,65,47
66,66,31
67,67,42
68,68,49
69,69,38
70,70,41
71,71,44
72,72,48
73,73,52
74,74,41
75,75,41
76,76,39
77,77,42
78,78,41
79,79,39
80,80,41
81,81,39
82,82,40
83,83,51
84,84,43
85,85,46
86,86,65
87,87,72
88,88,70
89,89,74
90,90,78
91,91,70
92,92,74
93,93,103
94,94,78
95,95,161
96,96,105
97,97,75
98,98,2974
99,99,73
100,100,2616
101,101,105
102,102,99
103,103,111
104,104,110
105,105,109
106,106,80
107,107,134
108,108,140
109,109,2927
110,110,123
111,111,125
112,112,119
113,113,115
114,114,116
115,115,113
116,116,108
117,117,122
118,118,126
119,119,128
120,120,131
121,121,131
122,122,134
123,123,130
124,124,133
125,125,135
126,126,109
127,127,78
128,128,77
129,129,75
130,130,71
131,131,105
132,132,129
133,133,136
134,134,133
135,135,130
136,136,133
137,137,129
138,138,169
139,139,140
140,140,136
141,141,123
142,142,124
143,143,122
144,144,127
145,145,130
146,146,106
147,147,105
148,148,106
149,149,101
150,150,108
151,151,124
152,152,128
153,153,124
154,154,121
155,155,123
156,156,119
157,157,119
158,158,121
159,159,120
160,160,121
161,161,126
162,162,117
163,163,127
164,164,125
165,165,123
166,166,123
167,167,149
168,168,119
169,169,121
170,170,131
171,171,132
172,172,92
173,173,123
174,174,127
175,175,129
176,176,125
177,177,124
178,178,128
179,179,129
180,180,136
181,181,128
182,182,126
183,183,126
184,184,131
185,185,125
186,186,125
187,187,133
188,188,120
189,189,123
190,190,124
191,191,136
192,192,134
193,193,127
194,194,124
195,195,122
196,196,135
197,197,127
198,198,134
199,199,126
200,200,131
201,201,121
202,202,127
203,203,120
204,204,132
205,205,117
206,206,119
207,207,116
208,208,115
209,209,119
210,210,126
211,211,123
212,212,125
213,213,126
214,214,118
215,215,119
216,216,112
217,217,113
218,218,118
219,219,105
220,220,118
221,221,117
222,222,119
223,223,123
224,224,118
225,225,116
226,226,114
227,227,112
228,228,112
229,229,108
230,230,110
231,231,111
232,232,111
233,233,172
234,234,145
235,235,109
236,236,111
237,237,111
238,238,113
239,239,108
240,240,107
241,241,109
242,242,111
243,243,114
244,244,147
245,245,136
246,246,125
247,247,130
248,248,117
249,249,118
250,250,144
251,251,144
252,252,140
253,253,141
254,254,142
255,255,144
256,256,142
257,257,144
258,258,143
259,259,145
260,260,148
261,261,155
262,262,142
263,263,135
264,264,145
265,265,143
266,266,144
267,267,143
268,268,145
269,269,144
270,270,135
271,271,139
272,272,115
273,273,123
274,274,138
275,275,137
276,276,134
277,277,134
278,278,132
279,279,125
280,280,119
281,281,116
282,282,122
283,283,117
284,284,117
285,285,114
286,286,107
287,287,114
288,288,111
289,289,111
290,290,112
291,291,110
292,292,109
293,293,110
294,294,115
295,295,111
296,296,107
297,297,117
298,298,115
299,299,111
300,300,187
301,301,114
302,302,118
303,303,112
304,304,125
305,305,147
306,306,128
307,307,109
308,308,180
309,309,177
310,310,101
311,311,79
312,312,180
313,313,162
314,314,147
315,315,142
316,316,143
317,317,145
318,318,148
319,319,152
320,320,174
321,321,181
322,322,177
323,323,171
324,324,159
325,325,163
326,326,179
327,327,181
328,328,107
329,329,123
330,330,130
331,331,129
332,332,114
333,333,116
334,334,114
335,335,120
336,336,123
337,337,126
338,338,125
339,339,119
340,340,118
341,341,123
342,342,125
343,343,122
344,344,110
345,345,120
346,346,116
347,347,142
348,348,136
349,349,141
350,350,119
351,351,111
352,352,125
353,353,133
354,354,120
355,355,75
356,356,176
357,357,155
358,358,155
359,359,145
360,360,124
361,361,119
362,362,112
363,363,116
364,364,150
365,365,159
366,366,161
367,367,157
368,368,155
369,369,148
370,370,143
371,371,138
372,372,136
373,373,138
374,374,127
375,375,132
376,376,132
377,377,131
378,378,131
379,379,137
380,380,127
381,381,125
382,382,122
383,383,129
384,384,137
385,385,131
386,386,132
387,387,128
388,388,129
389,389,127
390,390,128
391,391,126
392,392,131
393,393,128
394,394,124
395,395,130
396,396,126
397,397,130
398,398,132
399,399,130
400,400,134
401,401,138
402,402,136
403,403,138
404,404,138
405,405,143
406,406,140
407,407,144
408,408,150
409,409,148
410,410,139
411,411,141
412,412,144
413,413,141
414,414,145
415,415,141
416,416,145
417,417,137
418,418,139
419,419,139
420,420,138
421,421,134
422,422,138
423,423,134
424,424,138
425,425,134
426,426,140
427,427,138
428,428,143
429,429,142
430,430,146
431,431,96
432,432,160
433,433,148
434,434,141
435,435,139
436,436,130
437,437,132
438,438,130
439,439,130
440,440,130
441,441,127
442,442,133
443,443,139
444,444,126
445,445,132
446,446,135
447,447,134
448,448,131
449,449,128
450,450,131
451,451,133
452,452,131
453,453,133
454,454,130
455,455,126
456,456,138
457,457,129
458,458,135
459,459,138
460,460,136
461,461,131
462,462,128
463,463,133
464,464,122
465,465,129
466,466,127
467,467,128
468,468,125
469,469,131
470,470,133
471,471,129
472,472,132
473,473,129
474,474,133
475,475,126
476,476,132
477,477,133
478,478,128
479,479,129
480,480,136
481,481,131
482,482,120
483,483,128
484,484,128
485,485,131
486,486,128
487,487,137
488,488,129
489,489,130
490,490,127
491,491,123
492,492,127
493,493,132
494,494,125
495,495,134
496,496,132
497,497,132
498,498,129
499,499,125
500,500,127
501,501,128
502,502,134
503,503,125
504,504,135
505,505,130
506,506,125
507,507,129
508,508,124
509,509,128
510,510,128
511,511,127
512,512,127
513,513,126
514,514,127
515,515,131
516,516,126
517,517,139
518,518,128
519,519,124
520,520,127
521,521,126
522,522,133
523,523,123
524,524,129
525,525,126
526,526,128
527,527,129
528,528,126
529,529,124
530,530,126
531,531,129
532,532,124
533,533,129
534,534,124
535,535,127
536,536,129
537,537,129
538,538,130
539,539,127
540,540,122
541,541,128
542,542,131
543,543,128
544,544,125
545,545,119
546,546,127
547,547,124
548,548,122
549,549,122
550,550,129
551,551,149
552,552,128
553,553,124
554,554,102
555,555,57
556,556,129
557,557,171
558,558,169
559,559,157
560,560,132
561,561,108
562,562,113
563,563,122
564,564,121
565,565,123
566,566,119
567,567,119
568,568,127
569,569,122
570,570,119
571,571,132
572,572,143
573,573,151
574,574,145
575,575,154
576,576,155
577,577,154
578,578,158
579,579,154
580,580,154
581,581,146
582,582,139
583,583,141
584,584,144
585,585,148
586,586,148
587,587,144
588,588,146
589,589,141
590,590,132
591,591,129
592,592,120
593,593,126
594,594,117
