,Time,Area
0,0,340
1,1,340
2,2,342
3,3,341
4,4,329
5,5,330
6,6,334
7,7,332
8,8,336
9,9,335
10,10,336
11,11,335
12,12,336
13,13,342
14,14,343
15,15,346
16,16,332
17,17,329
18,18,343
19,19,334
20,20,334
21,21,336
22,22,334
23,23,330
24,24,338
25,25,334
26,26,335
27,27,347
28,28,346
29,29,342
30,30,345
31,31,339
32,32,343
33,33,338
34,34,340
35,35,345
36,36,338
37,37,334
38,38,335
39,39,344
40,40,341
41,41,338
42,42,340
43,43,336
44,44,338
45,45,342
46,46,339
47,47,340
48,48,341
49,49,340
50,50,344
51,51,344
52,52,342
53,53,339
54,54,338
55,55,330
56,56,339
57,57,341
58,58,348
59,59,344
60,60,351
61,61,343
62,62,346
63,63,344
64,64,351
65,65,347
66,66,344
67,67,343
68,68,346
69,69,350
70,70,346
71,71,352
72,72,361
73,73,351
74,74,356
75,75,349
76,76,352
77,77,359
78,78,354
79,79,350
80,80,349
81,81,339
82,82,343
83,83,341
84,84,344
85,85,338
86,86,329
87,87,393
88,88,397
89,89,352
90,90,347
91,91,342
92,92,343
93,93,347
94,94,341
95,95,356
96,96,352
97,97,2360
98,98,350
99,99,345
100,100,349
101,101,339
102,102,342
103,103,347
104,104,348
105,105,340
106,106,345
107,107,346
108,108,882
109,109,348
110,110,346
111,111,348
112,112,356
113,113,353
114,114,352
115,115,353
116,116,351
117,117,349
118,118,354
119,119,353
120,120,342
121,121,342
122,122,353
123,123,344
124,124,349
125,125,345
126,126,341
127,127,350
128,128,349
129,129,349
130,130,342
131,131,346
132,132,347
133,133,352
134,134,339
135,135,348
136,136,348
137,137,348
138,138,350
139,139,348
140,140,341
141,141,354
142,142,345
143,143,344
144,144,344
145,145,350
146,146,346
147,147,350
148,148,345
149,149,349
150,150,344
151,151,345
152,152,350
153,153,342
154,154,335
155,155,353
156,156,352
157,157,343
158,158,347
159,159,348
160,160,352
161,161,349
162,162,346
163,163,354
164,164,343
165,165,968
166,166,342
167,167,347
168,168,349
169,169,342
170,170,345
171,171,349
172,172,336
173,173,348
174,174,349
175,175,352
176,176,348
177,177,347
178,178,342
179,179,344
180,180,335
181,181,340
182,182,340
183,183,343
184,184,347
185,185,339
186,186,334
187,187,344
188,188,337
189,189,343
190,190,340
