,Time,Area
0,0,438
1,1,435
2,2,440
3,3,438
4,4,429
5,5,431
6,6,438
7,7,437
8,8,438
9,9,437
10,10,445
11,11,437
12,12,432
13,13,438
14,14,442
15,15,445
16,16,435
17,17,435
18,18,441
19,19,435
20,20,440
21,21,437
22,22,433
23,23,430
24,24,441
25,25,438
26,26,437
27,27,439
28,28,440
29,29,438
30,30,442
31,31,438
32,32,441
33,33,439
34,34,438
35,35,439
36,36,435
37,37,433
38,38,435
39,39,440
40,40,438
41,41,432
42,42,440
43,43,432
44,44,430
45,45,437
46,46,437
47,47,433
48,48,440
49,49,438
50,50,433
51,51,435
52,52,438
53,53,436
54,54,437
55,55,435
56,56,436
57,57,431
58,58,430
59,59,426
60,60,431
61,61,432
62,62,433
63,63,438
64,64,432
65,65,436
66,66,440
67,67,439
68,68,433
69,69,433
70,70,433
71,71,435
72,72,440
73,73,426
74,74,431
75,75,432
76,76,434
77,77,435
78,78,435
79,79,431
80,80,441
81,81,447
82,82,444
83,83,439
84,84,440
85,85,439
86,86,434
87,87,413
88,88,374
89,89,334
90,90,329
91,91,324
92,92,326
93,93,324
94,94,317
95,95,329
96,96,330
97,97,319
98,98,328
99,99,323
100,100,326
101,101,315
102,102,317
103,103,324
104,104,329
105,105,315
106,106,326
107,107,324
108,108,322
109,109,324
110,110,326
111,111,322
112,112,333
113,113,331
114,114,329
115,115,331
116,116,327
117,117,332
118,118,330
119,119,329
120,120,323
121,121,321
122,122,330
123,123,324
124,124,326
125,125,321
126,126,320
127,127,325
128,128,324
129,129,329
130,130,320
131,131,322
132,132,329
133,133,328
134,134,316
135,135,326
136,136,324
137,137,328
138,138,326
139,139,327
140,140,319
141,141,329
142,142,320
143,143,319
144,144,322
145,145,322
146,146,323
147,147,329
148,148,325
149,149,329
150,150,326
151,151,323
152,152,326
153,153,321
154,154,313
155,155,328
156,156,328
157,157,320
158,158,321
159,159,328
160,160,329
161,161,327
162,162,321
163,163,331
164,164,322
165,165,323
166,166,321
167,167,322
168,168,323
169,169,320
170,170,325
171,171,324
172,172,314
173,173,325
174,174,330
175,175,328
176,176,323
177,177,320
178,178,319
179,179,320
180,180,314
181,181,321
182,182,319
183,183,321
184,184,324
185,185,319
186,186,312
187,187,319
188,188,317
189,189,320
190,190,319
191,191,322
192,192,321
193,193,321
194,194,316
195,195,319
196,196,320
197,197,322
198,198,319
199,199,315
200,200,318
201,201,321
202,202,325
203,203,321
204,204,316
205,205,318
206,206,315
207,207,322
208,208,324
209,209,324
210,210,312
211,211,323
212,212,321
213,213,325
214,214,320
215,215,320
216,216,319
217,217,322
218,218,324
219,219,325
220,220,331
221,221,319
222,222,321
223,223,314
224,224,321
225,225,320
226,226,327
227,227,318
228,228,324
229,229,317
230,230,321
231,231,318
232,232,311
233,233,324
234,234,325
235,235,322
236,236,331
237,237,321
238,238,323
239,239,329
240,240,322
241,241,319
242,242,316
243,243,325
244,244,324
245,245,324
246,246,325
247,247,337
248,248,337
249,249,326
250,250,318
251,251,326
252,252,329
253,253,319
254,254,319
255,255,327
256,256,325
257,257,326
258,258,325
259,259,328
260,260,334
261,261,330
262,262,323
263,263,321
264,264,327
265,265,323
266,266,329
267,267,324
268,268,325
269,269,326
270,270,333
271,271,327
272,272,327
273,273,327
274,274,323
275,275,322
276,276,329
277,277,325
278,278,324
279,279,323
280,280,325
281,281,324
282,282,322
283,283,326
284,284,322
285,285,318
286,286,328
287,287,329
